tri,vertex,x,y,z,fault_name
10,b,-54720.3123780783,3344155.4507817244,-10139.0,gurla
10,c,-57988.217777026,3344691.08968033,-15358.0,gurla
10,m,-56738.4110339722,3345205.700796554,-12039.666666666666,gurla
11,a,-60294.3996122823,3347101.106168112,-15762.0,gurla
11,b,-57988.217777026,3344691.08968033,-15358.0,gurla
11,c,-60860.6805951458,3344550.9182807426,-20004.0,gurla
11,m,-59714.4326614847,3345447.704709728,-17041.333333333332,gurla
12,a,-53707.1030620744,3345458.9936064817,-5409.0,gurla
12,b,-50101.2393216755,3345774.2260001283,-31.0,gurla
12,c,-51279.2482593393,3343897.7628627606,-4573.0,gurla
12,m,-51695.863547696405,3345043.6608231235,-3337.6666666666665,gurla
13,a,-63005.7156485466,3346451.857699151,-20225.0,gurla
13,b,-60294.3996122823,3347101.106168112,-15762.0,gurla
13,c,-60860.6805951458,3344550.9182807426,-20004.0,gurla
13,m,-61386.931951991566,3346034.627382668,-18663.666666666668,gurla
14,a,-60294.3996122823,3347101.106168112,-15762.0,gurla
